pred_mi,pred_ml,pred_pg,pred_act,raw_output
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,To some extent,"Mistake_Identification: Yes
Mistake_Location: No
Providing_Guidance: To some extent
Actionability: To some extent<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: Yes
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,To some extent,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: No
Actionability: To some extent<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: To some extent
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,To some extent,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: To some extent<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,To some extent,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: To some extent<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: Yes
Mistake_Location: No
Providing_Guidance: To some extent
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,To some extent,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: To some extent<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: Yes
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: No
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,To some extent,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: To some extent<end_of_turn>"
Unknown,Unknown,Unknown,To some extent,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: No
Actionability: To some extent<end_of_turn>"
Unknown,Unknown,Unknown,To some extent,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: No
Actionability: To some extent<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: No
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: Yes
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: Yes
Mistake_Location: No
Providing_Guidance: To some extent
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: Yes
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,To some extent,"Mistake_Identification: Yes
Mistake_Location: No
Providing_Guidance: To some extent
Actionability: To some extent<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Unknown,Unknown,Unknown,No,"Mistake_Identification: Yes
Mistake_Location: No
Providing_Guidance: To some extent
Actionability: No<end_of_turn>"
Unknown,Unknown,Unknown,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
