pred_mi,pred_ml,pred_pg,pred_act,raw_output
Yes,Yes,No,No,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: No
Actionability: No<end_of_turn>"
No,No,No,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,No,To some extent,No,"Mistake_Identification: Yes
Mistake_Location: No
Providing_Guidance: To some extent
Actionability: No<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
No,No,No,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Yes,No,No,No,"Mistake_Identification: Yes
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Yes,Yes,Yes,No,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: No<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,No,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: No<end_of_turn>"
No,No,No,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Yes,Yes,No,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: No
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,No,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: No<end_of_turn>"
Yes,Yes,To some extent,To some extent,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: To some extent
Actionability: To some extent<end_of_turn>"
To some extent,To some extent,To some extent,To some extent,"Mistake_Identification: To some extent
Mistake_Location: To some extent
Providing_Guidance: To some extent
Actionability: To some extent<end_of_turn>"
To some extent,To some extent,To some extent,To some extent,"Mistake_Identification: To some extent
Mistake_Location: To some extent
Providing_Guidance: To some extent
Actionability: To some extent<end_of_turn>"
No,No,No,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
No,No,No,Yes,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: Yes<end_of_turn>"
No,No,No,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
No,No,No,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
No,No,No,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,No,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: No<end_of_turn>"
Yes,Yes,Yes,No,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: No<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
No,No,No,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,No,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: No<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
No,No,No,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
No,No,No,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
No,No,No,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
No,No,No,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Yes,Yes,Yes,No,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: No<end_of_turn>"
Yes,Yes,Yes,No,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: No<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,No,To some extent,To some extent,"Mistake_Identification: Yes
Mistake_Location: No
Providing_Guidance: To some extent
Actionability: To some extent<end_of_turn>"
Yes,Yes,Yes,No,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: No<end_of_turn>"
No,No,No,Yes,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: Yes<end_of_turn>"
To some extent,No,No,Yes,"Mistake_Identification: To some extent
Mistake_Location: No
Providing_Guidance: No
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,No,No,No,"Mistake_Identification: Yes
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Yes,Yes,Yes,No,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: No<end_of_turn>"
Yes,Yes,Yes,No,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: No<end_of_turn>"
No,No,No,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
No,No,No,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
No,No,No,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
No,No,No,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
No,No,No,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
No,No,No,No,"Mistake_Identification: No
Mistake_Location: No
Providing_Guidance: No
Actionability: No<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
Yes,No,To some extent,No,"Mistake_Identification: Yes
Mistake_Location: No
Providing_Guidance: To some extent
Actionability: No<end_of_turn>"
Yes,Yes,Yes,Yes,"Mistake_Identification: Yes
Mistake_Location: Yes
Providing_Guidance: Yes
Actionability: Yes<end_of_turn>"
